Nome da variável,Descrição da variável,Variable description,unit,target,subsection,data_sample1,data_sample2
Cod_seto,Código do setor censitário,Census sector code,,,,120001305000001,120001305000012
Situacao,Código de situação do setor censitário (ver planilha Basico_UF.xls),Code of situation of the census sector (see worksheet Basico_UF.xls),,,,1,1
V001,Filhos somente do responsável com menos de 1 ano de idade,Children only responsible for children under 1 year of age,family_unit,Pessoa07 V052 ,Age and Gender,1,1
V002,Filhos somente do responsável com 1 ano de idade,Children only responsible for 1 year of age,family_unit,Pessoa07 V053 ,Age and Gender,0,3
V003,Filhos somente do responsável com 2 anos de idade,Children only responsible for 2 year old,family_unit,Pessoa07 V054,Age and Gender,0,1
V004,Filhos somente do responsável com 3 anos de idade,Children only responsible for 3 year old,family_unit,Pessoa07 V055,Age and Gender,3,2
V005,Filhos somente do responsável com 4 anos de idade,Children only responsible for 4 year old,family_unit,Pessoa07 V056,Age and Gender,1,0
V006,Filhos somente do responsável com 5 anos de idade,Children only 5-year-old responsible,family_unit,Pessoa07 V057,Age and Gender,0,2
V007,Filhos somente do responsável com 6 anos de idade,Children only of the responsible person with 6 years of age,family_unit,Pessoa07 V058,Age and Gender,2,2
V008,Filhos somente do responsável com 7 anos de idade,Children only responsible for 7 year old,family_unit,Pessoa07 V059,Age and Gender,1,3
V009,Filhos somente do responsável com 8 anos de idade,Only 8-year-old responsible children,family_unit,Pessoa07 V060,Age and Gender,3,7
V010,Filhos somente do responsável com 9 anos de idade,Children only of the responsible person with 9 years of age,family_unit,Pessoa07 V061,Age and Gender,0,2
V011,Filhos somente do responsável com 10 anos de idade,Only 10-year-old responsible children,family_unit,Pessoa07 V062,Age and Gender,3,3
V012,Filhos somente do responsável com 11 anos de idade,Children only responsible person with 11 years of age,family_unit,Pessoa07 V063,Age and Gender,1,2
V013,Filhos somente do responsável com 12 anos de idade,Children only responsible for 12 year old,family_unit,Pessoa07 V064,Age and Gender,2,3
V014,Filhos somente do responsável com 13 anos de idade,Only 13-year-old responsible children,family_unit,Pessoa07 V065,Age and Gender,4,4
V015,Filhos somente do responsável com 14 anos de idade,Only 14-year-old responsible children,family_unit,Pessoa07 V066,Age and Gender,2,8
V016,Filhos somente do responsável com 15 anos de idade,Children only responsible for 15 years of age,family_unit,Pessoa07 V067,Age and Gender,4,2
